序号,时间/s,转速/rpm,扭矩/N·m,油门/%,电流/A,电压/V,电量/%,温度/℃
17411,1742.0,2000,20,0.2,20,250,0.2,20
17412,1742.1,6000,60,0.6,40,300,0.6,60
17413,1742.2,2000,20,0.2,20,250,0.2,20
17414,1742.3,6000,60,0.6,40,300,0.6,60
17415,1742.4,2000,20,0.2,20,250,0.2,20
17416,1742.5,6000,60,0.6,40,300,0.6,60
17417,1742.6,2000,20,0.2,20,250,0.2,20
17418,1742.7,6000,60,0.6,40,300,0.6,60
17419,1742.8,2000,20,0.2,20,250,0.2,20
17420,1742.9,6000,60,0.6,40,300,0.6,60
17421,1743.0,2000,20,0.2,20,250,0.2,20
17422,1743.1,6000,60,0.6,40,300,0.6,60
17423,1743.2,2000,20,0.2,20,250,0.2,20
17424,1743.3,6000,60,0.6,40,300,0.6,60
17425,1743.4,2000,20,0.2,20,250,0.2,20
17426,1743.5,6000,60,0.6,40,300,0.6,60
17427,1743.6,2000,20,0.2,20,250,0.2,20
17428,1743.7,6000,60,0.6,40,300,0.6,60
17429,1743.8,2000,20,0.2,20,250,0.2,20
17430,1743.9,6000,60,0.6,40,300,0.6,60
17431,1744.0,2000,20,0.2,20,250,0.2,20
17432,1744.1,6000,60,0.6,40,300,0.6,60
17433,1744.2,2000,20,0.2,20,250,0.2,20
17434,1744.3,6000,60,0.6,40,300,0.6,60
17435,1744.4,2000,20,0.2,20,250,0.2,20
17436,1744.5,6000,60,0.6,40,300,0.6,60
17437,1744.6,2000,20,0.2,20,250,0.2,20
17438,1744.7,6000,60,0.6,40,300,0.6,60
17439,1744.8,2000,20,0.2,20,250,0.2,20
17440,1744.9,6000,60,0.6,40,300,0.6,60
17441,1745.0,2000,20,0.2,20,250,0.2,20
17442,1745.1,6000,60,0.6,40,300,0.6,60
17443,1745.2,2000,20,0.2,20,250,0.2,20
17444,1745.3,6000,60,0.6,40,300,0.6,60
17445,1745.4,2000,20,0.2,20,250,0.2,20
17446,1745.5,6000,60,0.6,40,300,0.6,60
17447,1745.6,2000,20,0.2,20,250,0.2,20
17448,1745.7,6000,60,0.6,40,300,0.6,60
17449,1745.8,2000,20,0.2,20,250,0.2,20
17450,1745.9,6000,60,0.6,40,300,0.6,60
17451,1746.0,2000,20,0.2,20,250,0.2,20
17452,1746.1,6000,60,0.6,40,300,0.6,60
17453,1746.2,2000,20,0.2,20,250,0.2,20
17454,1746.3,6000,60,0.6,40,300,0.6,60
17455,1746.4,2000,20,0.2,20,250,0.2,20
17456,1746.5,6000,60,0.6,40,300,0.6,60
17457,1746.6,2000,20,0.2,20,250,0.2,20
17458,1746.7,6000,60,0.6,40,300,0.6,60
17459,1746.8,2000,20,0.2,20,250,0.2,20
17460,1746.9,6000,60,0.6,40,300,0.6,60
17461,1747.0,2000,20,0.2,20,250,0.2,20
17462,1747.1,6000,60,0.6,40,300,0.6,60
17463,1747.2,2000,20,0.2,20,250,0.2,20
17464,1747.3,6000,60,0.6,40,300,0.6,60
17465,1747.4,2000,20,0.2,20,250,0.2,20
17466,1747.5,6000,60,0.6,40,300,0.6,60
17467,1747.6,2000,20,0.2,20,250,0.2,20
17468,1747.7,6000,60,0.6,40,300,0.6,60
17469,1747.8,2000,20,0.2,20,250,0.2,20
17470,1747.9,6000,60,0.6,40,300,0.6,60
17471,1748.0,2000,20,0.2,20,250,0.2,20
17472,1748.1,6000,60,0.6,40,300,0.6,60
17473,1748.2,2000,20,0.2,20,250,0.2,20
17474,1748.3,6000,60,0.6,40,300,0.6,60
17475,1748.4,2000,20,0.2,20,250,0.2,20
17476,1748.5,6000,60,0.6,40,300,0.6,60
17477,1748.6,2000,20,0.2,20,250,0.2,20
17478,1748.7,6000,60,0.6,40,300,0.6,60
17479,1748.8,2000,20,0.2,20,250,0.2,20
17480,1748.9,6000,60,0.6,40,300,0.6,60
17481,1749.0,2000,20,0.2,20,250,0.2,20
17482,1749.1,6000,60,0.6,40,300,0.6,60
17483,1749.2,2000,20,0.2,20,250,0.2,20
17484,1749.3,6000,60,0.6,40,300,0.6,60
17485,1749.4,2000,20,0.2,20,250,0.2,20
17486,1749.5,6000,60,0.6,40,300,0.6,60
17487,1749.6,2000,20,0.2,20,250,0.2,20
17488,1749.7,6000,60,0.6,40,300,0.6,60
17489,1749.8,2000,20,0.2,20,250,0.2,20
17490,1749.9,6000,60,0.6,40,300,0.6,60
17491,1750.0,2000,20,0.2,20,250,0.2,20
17492,1750.1,6000,60,0.6,40,300,0.6,60
17493,1750.2,2000,20,0.2,20,250,0.2,20
17494,1750.3,6000,60,0.6,40,300,0.6,60
17495,1750.4,2000,20,0.2,20,250,0.2,20
17496,1750.5,6000,60,0.6,40,300,0.6,60
17497,1750.6,2000,20,0.2,20,250,0.2,20
17498,1750.7,6000,60,0.6,40,300,0.6,60
17499,1750.8,2000,20,0.2,20,250,0.2,20
17500,1750.9,6000,60,0.6,40,300,0.6,60
17501,1751.0,2000,20,0.2,20,250,0.2,20
17502,1751.1,6000,60,0.6,40,300,0.6,60
17503,1751.2,2000,20,0.2,20,250,0.2,20
17504,1751.3,6000,60,0.6,40,300,0.6,60
17505,1751.4,2000,20,0.2,20,250,0.2,20
17506,1751.5,6000,60,0.6,40,300,0.6,60
17507,1751.6,2000,20,0.2,20,250,0.2,20
17508,1751.7,6000,60,0.6,40,300,0.6,60
17509,1751.8,2000,20,0.2,20,250,0.2,20
17510,1751.9,6000,60,0.6,40,300,0.6,60
17511,1752.0,2000,20,0.2,20,250,0.2,20
17512,1752.1,6000,60,0.6,40,300,0.6,60
17513,1752.2,2000,20,0.2,20,250,0.2,20
17514,1752.3,6000,60,0.6,40,300,0.6,60
17515,1752.4,2000,20,0.2,20,250,0.2,20
17516,1752.5,6000,60,0.6,40,300,0.6,60
17517,1752.6,2000,20,0.2,20,250,0.2,20
17518,1752.7,6000,60,0.6,40,300,0.6,60
17519,1752.8,2000,20,0.2,20,250,0.2,20
17520,1752.9,6000,60,0.6,40,300,0.6,60
17521,1753.0,2000,20,0.2,20,250,0.2,20
17522,1753.1,6000,60,0.6,40,300,0.6,60
17523,1753.2,2000,20,0.2,20,250,0.2,20
17524,1753.3,6000,60,0.6,40,300,0.6,60
17525,1753.4,2000,20,0.2,20,250,0.2,20
17526,1753.5,6000,60,0.6,40,300,0.6,60
17527,1753.6,2000,20,0.2,20,250,0.2,20
17528,1753.7,6000,60,0.6,40,300,0.6,60
17529,1753.8,2000,20,0.2,20,250,0.2,20
17530,1753.9,6000,60,0.6,40,300,0.6,60
17531,1754.0,2000,20,0.2,20,250,0.2,20
17532,1754.1,6000,60,0.6,40,300,0.6,60
17533,1754.2,2000,20,0.2,20,250,0.2,20
17534,1754.3,6000,60,0.6,40,300,0.6,60
17535,1754.4,2000,20,0.2,20,250,0.2,20
17536,1754.5,6000,60,0.6,40,300,0.6,60
17537,1754.6,2000,20,0.2,20,250,0.2,20
17538,1754.7,6000,60,0.6,40,300,0.6,60
17539,1754.8,2000,20,0.2,20,250,0.2,20
17540,1754.9,6000,60,0.6,40,300,0.6,60
17541,1755.0,2000,20,0.2,20,250,0.2,20
17542,1755.1,6000,60,0.6,40,300,0.6,60
17543,1755.2,2000,20,0.2,20,250,0.2,20
17544,1755.3,6000,60,0.6,40,300,0.6,60
17545,1755.4,2000,20,0.2,20,250,0.2,20
17546,1755.5,6000,60,0.6,40,300,0.6,60
17547,1755.6,2000,20,0.2,20,250,0.2,20
17548,1755.7,6000,60,0.6,40,300,0.6,60
17549,1755.8,2000,20,0.2,20,250,0.2,20
17550,1755.9,6000,60,0.6,40,300,0.6,60
17551,1756.0,2000,20,0.2,20,250,0.2,20
17552,1756.1,6000,60,0.6,40,300,0.6,60
17553,1756.2,2000,20,0.2,20,250,0.2,20
17554,1756.3,6000,60,0.6,40,300,0.6,60
17555,1756.4,2000,20,0.2,20,250,0.2,20
17556,1756.5,6000,60,0.6,40,300,0.6,60
17557,1756.6,2000,20,0.2,20,250,0.2,20
17558,1756.7,6000,60,0.6,40,300,0.6,60
17559,1756.8,2000,20,0.2,20,250,0.2,20
17560,1756.9,6000,60,0.6,40,300,0.6,60
17561,1757.0,2000,20,0.2,20,250,0.2,20
17562,1757.1,6000,60,0.6,40,300,0.6,60
17563,1757.2,2000,20,0.2,20,250,0.2,20
17564,1757.3,6000,60,0.6,40,300,0.6,60
17565,1757.4,2000,20,0.2,20,250,0.2,20
17566,1757.5,6000,60,0.6,40,300,0.6,60
17567,1757.6,2000,20,0.2,20,250,0.2,20
17568,1757.7,6000,60,0.6,40,300,0.6,60
17569,1757.8,2000,20,0.2,20,250,0.2,20
17570,1757.9,6000,60,0.6,40,300,0.6,60
17571,1758.0,2000,20,0.2,20,250,0.2,20
17572,1758.1,6000,60,0.6,40,300,0.6,60
17573,1758.2,2000,20,0.2,20,250,0.2,20
17574,1758.3,6000,60,0.6,40,300,0.6,60
17575,1758.4,2000,20,0.2,20,250,0.2,20
17576,1758.5,6000,60,0.6,40,300,0.6,60
17577,1758.6,2000,20,0.2,20,250,0.2,20
17578,1758.7,6000,60,0.6,40,300,0.6,60
17579,1758.8,2000,20,0.2,20,250,0.2,20
17580,1758.9,6000,60,0.6,40,300,0.6,60
17581,1759.0,2000,20,0.2,20,250,0.2,20
17582,1759.1,6000,60,0.6,40,300,0.6,60
17583,1759.2,2000,20,0.2,20,250,0.2,20
17584,1759.3,6000,60,0.6,40,300,0.6,60
17585,1759.4,2000,20,0.2,20,250,0.2,20
17586,1759.5,6000,60,0.6,40,300,0.6,60
17587,1759.6,2000,20,0.2,20,250,0.2,20
17588,1759.7,6000,60,0.6,40,300,0.6,60
17589,1759.8,2000,20,0.2,20,250,0.2,20
17590,1759.9,6000,60,0.6,40,300,0.6,60
17591,1760.0,2000,20,0.2,20,250,0.2,20
17592,1760.1,6000,60,0.6,40,300,0.6,60
17593,1760.2,2000,20,0.2,20,250,0.2,20
17594,1760.3,6000,60,0.6,40,300,0.6,60
17595,1760.4,2000,20,0.2,20,250,0.2,20
17596,1760.5,6000,60,0.6,40,300,0.6,60
17597,1760.6,2000,20,0.2,20,250,0.2,20
17598,1760.7,6000,60,0.6,40,300,0.6,60
17599,1760.8,2000,20,0.2,20,250,0.2,20
17600,1760.9,6000,60,0.6,40,300,0.6,60
17601,1761.0,2000,20,0.2,20,250,0.2,20
17602,1761.1,6000,60,0.6,40,300,0.6,60
17603,1761.2,2000,20,0.2,20,250,0.2,20
17604,1761.3,6000,60,0.6,40,300,0.6,60
17605,1761.4,2000,20,0.2,20,250,0.2,20
17606,1761.5,6000,60,0.6,40,300,0.6,60
17607,1761.6,2000,20,0.2,20,250,0.2,20
17608,1761.7,6000,60,0.6,40,300,0.6,60
17609,1761.8,2000,20,0.2,20,250,0.2,20
17610,1761.9,6000,60,0.6,40,300,0.6,60
17611,1762.0,2000,20,0.2,20,250,0.2,20
17612,1762.1,6000,60,0.6,40,300,0.6,60
17613,1762.2,2000,20,0.2,20,250,0.2,20
17614,1762.3,6000,60,0.6,40,300,0.6,60
17615,1762.4,2000,20,0.2,20,250,0.2,20
17616,1762.5,6000,60,0.6,40,300,0.6,60
17617,1762.6,2000,20,0.2,20,250,0.2,20
17618,1762.7,6000,60,0.6,40,300,0.6,60
17619,1762.8,2000,20,0.2,20,250,0.2,20
17620,1762.9,6000,60,0.6,40,300,0.6,60
17621,1763.0,2000,20,0.2,20,250,0.2,20
17622,1763.1,6000,60,0.6,40,300,0.6,60
17623,1763.2,2000,20,0.2,20,250,0.2,20
17624,1763.3,6000,60,0.6,40,300,0.6,60
17625,1763.4,2000,20,0.2,20,250,0.2,20
17626,1763.5,6000,60,0.6,40,300,0.6,60
17627,1763.6,2000,20,0.2,20,250,0.2,20
17628,1763.7,6000,60,0.6,40,300,0.6,60
17629,1763.8,2000,20,0.2,20,250,0.2,20
17630,1763.9,6000,60,0.6,40,300,0.6,60
17631,1764.0,2000,20,0.2,20,250,0.2,20
17632,1764.1,6000,60,0.6,40,300,0.6,60
17633,1764.2,2000,20,0.2,20,250,0.2,20
17634,1764.3,6000,60,0.6,40,300,0.6,60
17635,1764.4,2000,20,0.2,20,250,0.2,20
17636,1764.5,6000,60,0.6,40,300,0.6,60
17637,1764.6,2000,20,0.2,20,250,0.2,20
17638,1764.7,6000,60,0.6,40,300,0.6,60
17639,1764.8,2000,20,0.2,20,250,0.2,20
17640,1764.9,6000,60,0.6,40,300,0.6,60
17641,1765.0,2000,20,0.2,20,250,0.2,20
17642,1765.1,6000,60,0.6,40,300,0.6,60
17643,1765.2,2000,20,0.2,20,250,0.2,20
17644,1765.3,6000,60,0.6,40,300,0.6,60
17645,1765.4,2000,20,0.2,20,250,0.2,20
17646,1765.5,6000,60,0.6,40,300,0.6,60
17647,1765.6,2000,20,0.2,20,250,0.2,20
17648,1765.7,6000,60,0.6,40,300,0.6,60
17649,1765.8,2000,20,0.2,20,250,0.2,20
17650,1765.9,6000,60,0.6,40,300,0.6,60
17651,1766.0,2000,20,0.2,20,250,0.2,20
17652,1766.1,6000,60,0.6,40,300,0.6,60
17653,1766.2,2000,20,0.2,20,250,0.2,20
17654,1766.3,6000,60,0.6,40,300,0.6,60
17655,1766.4,2000,20,0.2,20,250,0.2,20
17656,1766.5,6000,60,0.6,40,300,0.6,60
17657,1766.6,2000,20,0.2,20,250,0.2,20
17658,1766.7,6000,60,0.6,40,300,0.6,60
17659,1766.8,2000,20,0.2,20,250,0.2,20
17660,1766.9,6000,60,0.6,40,300,0.6,60
17661,1767.0,2000,20,0.2,20,250,0.2,20
17662,1767.1,6000,60,0.6,40,300,0.6,60
17663,1767.2,2000,20,0.2,20,250,0.2,20
17664,1767.3,6000,60,0.6,40,300,0.6,60
17665,1767.4,2000,20,0.2,20,250,0.2,20
17666,1767.5,6000,60,0.6,40,300,0.6,60
17667,1767.6,2000,20,0.2,20,250,0.2,20
17668,1767.7,6000,60,0.6,40,300,0.6,60
17669,1767.8,2000,20,0.2,20,250,0.2,20
17670,1767.9,6000,60,0.6,40,300,0.6,60
17671,1768.0,2000,20,0.2,20,250,0.2,20
17672,1768.1,6000,60,0.6,40,300,0.6,60
17673,1768.2,2000,20,0.2,20,250,0.2,20
17674,1768.3,6000,60,0.6,40,300,0.6,60
17675,1768.4,2000,20,0.2,20,250,0.2,20
17676,1768.5,6000,60,0.6,40,300,0.6,60
17677,1768.6,2000,20,0.2,20,250,0.2,20
17678,1768.7,6000,60,0.6,40,300,0.6,60
17679,1768.8,2000,20,0.2,20,250,0.2,20
17680,1768.9,6000,60,0.6,40,300,0.6,60
17681,1769.0,2000,20,0.2,20,250,0.2,20
17682,1769.1,6000,60,0.6,40,300,0.6,60
17683,1769.2,2000,20,0.2,20,250,0.2,20
17684,1769.3,6000,60,0.6,40,300,0.6,60
17685,1769.4,2000,20,0.2,20,250,0.2,20
17686,1769.5,6000,60,0.6,40,300,0.6,60
17687,1769.6,2000,20,0.2,20,250,0.2,20
17688,1769.7,6000,60,0.6,40,300,0.6,60
17689,1769.8,2000,20,0.2,20,250,0.2,20
17690,1769.9,6000,60,0.6,40,300,0.6,60
17691,1770.0,2000,20,0.2,20,250,0.2,20
17692,1770.1,6000,60,0.6,40,300,0.6,60
17693,1770.2,2000,20,0.2,20,250,0.2,20
17694,1770.3,6000,60,0.6,40,300,0.6,60
17695,1770.4,2000,20,0.2,20,250,0.2,20
17696,1770.5,6000,60,0.6,40,300,0.6,60
17697,1770.6,2000,20,0.2,20,250,0.2,20
17698,1770.7,6000,60,0.6,40,300,0.6,60
17699,1770.8,2000,20,0.2,20,250,0.2,20
17700,1770.9,6000,60,0.6,40,300,0.6,60
17701,1771.0,2000,20,0.2,20,250,0.2,20
17702,1771.1,6000,60,0.6,40,300,0.6,60
17703,1771.2,2000,20,0.2,20,250,0.2,20
17704,1771.3,6000,60,0.6,40,300,0.6,60
17705,1771.4,2000,20,0.2,20,250,0.2,20
17706,1771.5,6000,60,0.6,40,300,0.6,60
17707,1771.6,2000,20,0.2,20,250,0.2,20
17708,1771.7,6000,60,0.6,40,300,0.6,60
17709,1771.8,2000,20,0.2,20,250,0.2,20
17710,1771.9,6000,60,0.6,40,300,0.6,60
17711,1772.0,2000,20,0.2,20,250,0.2,20
17712,1772.1,6000,60,0.6,40,300,0.6,60
17713,1772.2,2000,20,0.2,20,250,0.2,20
17714,1772.3,6000,60,0.6,40,300,0.6,60
17715,1772.4,2000,20,0.2,20,250,0.2,20
17716,1772.5,6000,60,0.6,40,300,0.6,60
17717,1772.6,2000,20,0.2,20,250,0.2,20
17718,1772.7,6000,60,0.6,40,300,0.6,60
17719,1772.8,2000,20,0.2,20,250,0.2,20
17720,1772.9,6000,60,0.6,40,300,0.6,60
17721,1773.0,2000,20,0.2,20,250,0.2,20
17722,1773.1,6000,60,0.6,40,300,0.6,60
17723,1773.2,2000,20,0.2,20,250,0.2,20
17724,1773.3,6000,60,0.6,40,300,0.6,60
17725,1773.4,2000,20,0.2,20,250,0.2,20
17726,1773.5,6000,60,0.6,40,300,0.6,60
17727,1773.6,2000,20,0.2,20,250,0.2,20
17728,1773.7,6000,60,0.6,40,300,0.6,60
17729,1773.8,2000,20,0.2,20,250,0.2,20
17730,1773.9,6000,60,0.6,40,300,0.6,60
17731,1774.0,2000,20,0.2,20,250,0.2,20
17732,1774.1,6000,60,0.6,40,300,0.6,60
17733,1774.2,2000,20,0.2,20,250,0.2,20
17734,1774.3,6000,60,0.6,40,300,0.6,60
17735,1774.4,2000,20,0.2,20,250,0.2,20
17736,1774.5,6000,60,0.6,40,300,0.6,60
17737,1774.6,2000,20,0.2,20,250,0.2,20
17738,1774.7,6000,60,0.6,40,300,0.6,60
17739,1774.8,2000,20,0.2,20,250,0.2,20
17740,1774.9,6000,60,0.6,40,300,0.6,60
17741,1775.0,2000,20,0.2,20,250,0.2,20
17742,1775.1,6000,60,0.6,40,300,0.6,60
17743,1775.2,2000,20,0.2,20,250,0.2,20
17744,1775.3,6000,60,0.6,40,300,0.6,60
17745,1775.4,2000,20,0.2,20,250,0.2,20
17746,1775.5,6000,60,0.6,40,300,0.6,60
17747,1775.6,2000,20,0.2,20,250,0.2,20
17748,1775.7,6000,60,0.6,40,300,0.6,60
17749,1775.8,2000,20,0.2,20,250,0.2,20
17750,1775.9,6000,60,0.6,40,300,0.6,60
17751,1776.0,2000,20,0.2,20,250,0.2,20
17752,1776.1,6000,60,0.6,40,300,0.6,60
17753,1776.2,2000,20,0.2,20,250,0.2,20
17754,1776.3,6000,60,0.6,40,300,0.6,60
17755,1776.4,2000,20,0.2,20,250,0.2,20
17756,1776.5,6000,60,0.6,40,300,0.6,60
17757,1776.6,2000,20,0.2,20,250,0.2,20
17758,1776.7,6000,60,0.6,40,300,0.6,60
17759,1776.8,2000,20,0.2,20,250,0.2,20
17760,1776.9,6000,60,0.6,40,300,0.6,60
17761,1777.0,2000,20,0.2,20,250,0.2,20
17762,1777.1,6000,60,0.6,40,300,0.6,60
17763,1777.2,2000,20,0.2,20,250,0.2,20
17764,1777.3,6000,60,0.6,40,300,0.6,60
17765,1777.4,2000,20,0.2,20,250,0.2,20
17766,1777.5,6000,60,0.6,40,300,0.6,60
17767,1777.6,2000,20,0.2,20,250,0.2,20
17768,1777.7,6000,60,0.6,40,300,0.6,60
17769,1777.8,2000,20,0.2,20,250,0.2,20
17770,1777.9,6000,60,0.6,40,300,0.6,60
17771,1778.0,2000,20,0.2,20,250,0.2,20
17772,1778.1,6000,60,0.6,40,300,0.6,60
17773,1778.2,2000,20,0.2,20,250,0.2,20
17774,1778.3,6000,60,0.6,40,300,0.6,60
17775,1778.4,2000,20,0.2,20,250,0.2,20
17776,1778.5,6000,60,0.6,40,300,0.6,60
17777,1778.6,2000,20,0.2,20,250,0.2,20
17778,1778.7,6000,60,0.6,40,300,0.6,60
17779,1778.8,2000,20,0.2,20,250,0.2,20
17780,1778.9,6000,60,0.6,40,300,0.6,60
17781,1779.0,2000,20,0.2,20,250,0.2,20
17782,1779.1,6000,60,0.6,40,300,0.6,60
17783,1779.2,2000,20,0.2,20,250,0.2,20
17784,1779.3,6000,60,0.6,40,300,0.6,60
17785,1779.4,2000,20,0.2,20,250,0.2,20
17786,1779.5,6000,60,0.6,40,300,0.6,60
17787,1779.6,2000,20,0.2,20,250,0.2,20
17788,1779.7,6000,60,0.6,40,300,0.6,60
17789,1779.8,2000,20,0.2,20,250,0.2,20
17790,1779.9,6000,60,0.6,40,300,0.6,60
17791,1780.0,2000,20,0.2,20,250,0.2,20
17792,1780.1,6000,60,0.6,40,300,0.6,60
17793,1780.2,2000,20,0.2,20,250,0.2,20
17794,1780.3,6000,60,0.6,40,300,0.6,60
17795,1780.4,2000,20,0.2,20,250,0.2,20
17796,1780.5,6000,60,0.6,40,300,0.6,60
17797,1780.6,2000,20,0.2,20,250,0.2,20
17798,1780.7,6000,60,0.6,40,300,0.6,60
17799,1780.8,2000,20,0.2,20,250,0.2,20
17800,1780.9,6000,60,0.6,40,300,0.6,60
17801,1781.0,2000,20,0.2,20,250,0.2,20
17802,1781.1,6000,60,0.6,40,300,0.6,60
17803,1781.2,2000,20,0.2,20,250,0.2,20
17804,1781.3,6000,60,0.6,40,300,0.6,60
17805,1781.4,2000,20,0.2,20,250,0.2,20
17806,1781.5,6000,60,0.6,40,300,0.6,60
17807,1781.6,2000,20,0.2,20,250,0.2,20
17808,1781.7,6000,60,0.6,40,300,0.6,60
17809,1781.8,2000,20,0.2,20,250,0.2,20
17810,1781.9,6000,60,0.6,40,300,0.6,60
17811,1782.0,2000,20,0.2,20,250,0.2,20
17812,1782.1,6000,60,0.6,40,300,0.6,60
17813,1782.2,2000,20,0.2,20,250,0.2,20
17814,1782.3,6000,60,0.6,40,300,0.6,60
17815,1782.4,2000,20,0.2,20,250,0.2,20
17816,1782.5,6000,60,0.6,40,300,0.6,60
17817,1782.6,2000,20,0.2,20,250,0.2,20
17818,1782.7,6000,60,0.6,40,300,0.6,60
17819,1782.8,2000,20,0.2,20,250,0.2,20
17820,1782.9,6000,60,0.6,40,300,0.6,60
17821,1783.0,2000,20,0.2,20,250,0.2,20
17822,1783.1,6000,60,0.6,40,300,0.6,60
17823,1783.2,2000,20,0.2,20,250,0.2,20
17824,1783.3,6000,60,0.6,40,300,0.6,60
17825,1783.4,2000,20,0.2,20,250,0.2,20
17826,1783.5,6000,60,0.6,40,300,0.6,60
17827,1783.6,2000,20,0.2,20,250,0.2,20
17828,1783.7,6000,60,0.6,40,300,0.6,60
17829,1783.8,2000,20,0.2,20,250,0.2,20
17830,1783.9,6000,60,0.6,40,300,0.6,60
17831,1784.0,2000,20,0.2,20,250,0.2,20
17832,1784.1,6000,60,0.6,40,300,0.6,60
17833,1784.2,2000,20,0.2,20,250,0.2,20
17834,1784.3,6000,60,0.6,40,300,0.6,60
17835,1784.4,2000,20,0.2,20,250,0.2,20
17836,1784.5,6000,60,0.6,40,300,0.6,60
17837,1784.6,2000,20,0.2,20,250,0.2,20
17838,1784.7,6000,60,0.6,40,300,0.6,60
17839,1784.8,2000,20,0.2,20,250,0.2,20
17840,1784.9,6000,60,0.6,40,300,0.6,60
17841,1785.0,2000,20,0.2,20,250,0.2,20
17842,1785.1,6000,60,0.6,40,300,0.6,60
17843,1785.2,2000,20,0.2,20,250,0.2,20
17844,1785.3,6000,60,0.6,40,300,0.6,60
17845,1785.4,2000,20,0.2,20,250,0.2,20
17846,1785.5,6000,60,0.6,40,300,0.6,60
17847,1785.6,2000,20,0.2,20,250,0.2,20
17848,1785.7,6000,60,0.6,40,300,0.6,60
17849,1785.8,2000,20,0.2,20,250,0.2,20
17850,1785.9,6000,60,0.6,40,300,0.6,60
17851,1786.0,2000,20,0.2,20,250,0.2,20
17852,1786.1,6000,60,0.6,40,300,0.6,60
17853,1786.2,2000,20,0.2,20,250,0.2,20
17854,1786.3,6000,60,0.6,40,300,0.6,60
17855,1786.4,2000,20,0.2,20,250,0.2,20
17856,1786.5,6000,60,0.6,40,300,0.6,60
17857,1786.6,2000,20,0.2,20,250,0.2,20
17858,1786.7,6000,60,0.6,40,300,0.6,60
17859,1786.8,2000,20,0.2,20,250,0.2,20
17860,1786.9,6000,60,0.6,40,300,0.6,60
17861,1787.0,2000,20,0.2,20,250,0.2,20
17862,1787.1,6000,60,0.6,40,300,0.6,60
17863,1787.2,2000,20,0.2,20,250,0.2,20
17864,1787.3,6000,60,0.6,40,300,0.6,60
17865,1787.4,2000,20,0.2,20,250,0.2,20
17866,1787.5,6000,60,0.6,40,300,0.6,60
17867,1787.6,2000,20,0.2,20,250,0.2,20
17868,1787.7,6000,60,0.6,40,300,0.6,60
17869,1787.8,2000,20,0.2,20,250,0.2,20
17870,1787.9,6000,60,0.6,40,300,0.6,60
17871,1788.0,2000,20,0.2,20,250,0.2,20
17872,1788.1,6000,60,0.6,40,300,0.6,60
17873,1788.2,2000,20,0.2,20,250,0.2,20
17874,1788.3,6000,60,0.6,40,300,0.6,60
17875,1788.4,2000,20,0.2,20,250,0.2,20
17876,1788.5,6000,60,0.6,40,300,0.6,60
17877,1788.6,2000,20,0.2,20,250,0.2,20
17878,1788.7,6000,60,0.6,40,300,0.6,60
17879,1788.8,2000,20,0.2,20,250,0.2,20
17880,1788.9,6000,60,0.6,40,300,0.6,60
17881,1789.0,2000,20,0.2,20,250,0.2,20
17882,1789.1,6000,60,0.6,40,300,0.6,60
17883,1789.2,2000,20,0.2,20,250,0.2,20
17884,1789.3,6000,60,0.6,40,300,0.6,60
17885,1789.4,2000,20,0.2,20,250,0.2,20
17886,1789.5,6000,60,0.6,40,300,0.6,60
17887,1789.6,2000,20,0.2,20,250,0.2,20
17888,1789.7,6000,60,0.6,40,300,0.6,60
17889,1789.8,2000,20,0.2,20,250,0.2,20
17890,1789.9,6000,60,0.6,40,300,0.6,60
17891,1790.0,2000,20,0.2,20,250,0.2,20
17892,1790.1,6000,60,0.6,40,300,0.6,60
17893,1790.2,2000,20,0.2,20,250,0.2,20
17894,1790.3,6000,60,0.6,40,300,0.6,60
17895,1790.4,2000,20,0.2,20,250,0.2,20
17896,1790.5,6000,60,0.6,40,300,0.6,60
17897,1790.6,2000,20,0.2,20,250,0.2,20
17898,1790.7,6000,60,0.6,40,300,0.6,60
17899,1790.8,2000,20,0.2,20,250,0.2,20
17900,1790.9,6000,60,0.6,40,300,0.6,60
17901,1791.0,2000,20,0.2,20,250,0.2,20
17902,1791.1,6000,60,0.6,40,300,0.6,60
17903,1791.2,2000,20,0.2,20,250,0.2,20
17904,1791.3,6000,60,0.6,40,300,0.6,60
17905,1791.4,2000,20,0.2,20,250,0.2,20
17906,1791.5,6000,60,0.6,40,300,0.6,60
17907,1791.6,2000,20,0.2,20,250,0.2,20
17908,1791.7,6000,60,0.6,40,300,0.6,60
17909,1791.8,2000,20,0.2,20,250,0.2,20
17910,1791.9,6000,60,0.6,40,300,0.6,60
17911,1792.0,2000,20,0.2,20,250,0.2,20
17912,1792.1,6000,60,0.6,40,300,0.6,60
17913,1792.2,2000,20,0.2,20,250,0.2,20
17914,1792.3,6000,60,0.6,40,300,0.6,60
17915,1792.4,2000,20,0.2,20,250,0.2,20
17916,1792.5,6000,60,0.6,40,300,0.6,60
17917,1792.6,2000,20,0.2,20,250,0.2,20
17918,1792.7,6000,60,0.6,40,300,0.6,60
17919,1792.8,2000,20,0.2,20,250,0.2,20
17920,1792.9,6000,60,0.6,40,300,0.6,60
17921,1793.0,2000,20,0.2,20,250,0.2,20
17922,1793.1,6000,60,0.6,40,300,0.6,60
17923,1793.2,2000,20,0.2,20,250,0.2,20
17924,1793.3,6000,60,0.6,40,300,0.6,60
17925,1793.4,2000,20,0.2,20,250,0.2,20
17926,1793.5,6000,60,0.6,40,300,0.6,60
